Measure,Vol
BrainSegVol,1404210.000000000000
BrainSegVolNotVent,1372754.000000000000
SupraTentorialVol,1255851.000000000000
SupraTentorialVolNotVent,1224395.000000000000
SubCortGrayVol,70762.000000000000
lhCortexVol,296160.283319907088
rhCortexVol,292447.598322304548
CortexVol,588607.881642211694
TotalGrayVol,772864.881642211694
lhCerebralWhiteMatterVol,283845.500000000000
rhCerebralWhiteMatterVol,283264.500000000000
CerebralWhiteMatterVol,567110.000000000000
MaskVol,1902451.000000000000
SupraTentorialVolNotVentVox,1224395.000000000000
BrainSegVolNotVentSurf,1372754.000000000000
VentricleChoroidVol,26923.000000000000
