Measure,Vol
BrainSegVol,1149517.000000000000
BrainSegVolNotVent,1134848.000000000000
SupraTentorialVol,1017472.000000000000
SupraTentorialVolNotVent,1002803.000000000000
SubCortGrayVol,63424.000000000000
lhCortexVol,257544.217577287840
rhCortexVol,258536.055797310080
CortexVol,516080.273374597891
TotalGrayVol,683188.273374597891
lhCerebralWhiteMatterVol,212498.500000000000
rhCerebralWhiteMatterVol,212524.500000000000
CerebralWhiteMatterVol,425023.000000000000
MaskVol,1689161.000000000000
SupraTentorialVolNotVentVox,1002803.000000000000
BrainSegVolNotVentSurf,1134848.000000000000
VentricleChoroidVol,11179.000000000000
