Measure,Vol
BrainSegVol,1189556.000000000000
BrainSegVolNotVent,1173849.000000000000
SupraTentorialVol,1051864.000000000000
SupraTentorialVolNotVent,1036157.000000000000
SubCortGrayVol,67701.000000000000
lhCortexVol,262661.412562834681
rhCortexVol,260356.912579615106
CortexVol,523018.325142449816
TotalGrayVol,699216.325142449816
lhCerebralWhiteMatterVol,224930.500000000000
rhCerebralWhiteMatterVol,222503.500000000000
CerebralWhiteMatterVol,447434.000000000000
MaskVol,1587135.000000000000
SupraTentorialVolNotVentVox,1036157.000000000000
BrainSegVolNotVentSurf,1173849.000000000000
VentricleChoroidVol,12350.000000000000
