Measure,Value
BrainSegVol,1040327.000000
lhCortexVol,231205.261961
rhCortexVol,228972.178199
CortexVol,460177.440160
TotalGrayVol,617838.440160
MaskVol,1495182.000000
BrainSegVol-to-eTIV,0.777976
MaskVol-to-eTIV,1.118125
eTIV,1337223.014753
