Measure,Vol
BrainSegVol,1224911.000000000000
BrainSegVolNotVent,1215202.000000000000
SupraTentorialVol,1072339.000000000000
SupraTentorialVolNotVent,1062630.000000000000
SubCortGrayVol,68652.000000000000
lhCortexVol,261732.492300845159
rhCortexVol,258404.146408425702
CortexVol,520136.638709270861
TotalGrayVol,704877.638709270861
lhCerebralWhiteMatterVol,239216.500000000000
rhCerebralWhiteMatterVol,237280.500000000000
CerebralWhiteMatterVol,476497.000000000000
MaskVol,1632281.000000000000
SupraTentorialVolNotVentVox,1062630.000000000000
BrainSegVolNotVentSurf,1215202.000000000000
VentricleChoroidVol,7198.000000000000
