Measure,Vol
BrainSegVol,1459800.000000000000
BrainSegVolNotVent,1439091.000000000000
SupraTentorialVol,1303822.000000000000
SupraTentorialVolNotVent,1283113.000000000000
SubCortGrayVol,69811.000000000000
lhCortexVol,292983.481312003976
rhCortexVol,294053.702284555824
CortexVol,587037.183596559800
TotalGrayVol,775910.183596559800
lhCerebralWhiteMatterVol,315420.500000000000
rhCerebralWhiteMatterVol,312929.500000000000
CerebralWhiteMatterVol,628350.000000000000
MaskVol,2005057.000000000000
SupraTentorialVolNotVentVox,1283113.000000000000
BrainSegVolNotVentSurf,1439091.000000000000
VentricleChoroidVol,17299.000000000000
