Measure,Vol
BrainSegVol,1208944.000000000000
BrainSegVolNotVent,1186343.000000000000
SupraTentorialVol,1074330.000000000000
SupraTentorialVolNotVent,1051729.000000000000
SubCortGrayVol,60769.000000000000
lhCortexVol,259181.071305535908
rhCortexVol,260633.710439696501
CortexVol,519814.781745232409
TotalGrayVol,685793.781745232409
lhCerebralWhiteMatterVol,236451.500000000000
rhCerebralWhiteMatterVol,236427.500000000000
CerebralWhiteMatterVol,472879.000000000000
MaskVol,1709619.000000000000
SupraTentorialVolNotVentVox,1051729.000000000000
BrainSegVolNotVentSurf,1186343.000000000000
VentricleChoroidVol,17999.000000000000
