Measure,Value
BrainSegVol,1220574.000000
lhCortexVol,268076.051970
rhCortexVol,267544.990388
CortexVol,535621.042358
TotalGrayVol,714150.042358
MaskVol,1675562.000000
BrainSegVol-to-eTIV,0.779467
MaskVol-to-eTIV,1.070026
eTIV,1565908.025032
