Measure,Value
BrainSegVol,1005544.000000
lhCortexVol,211806.967644
rhCortexVol,212100.989712
CortexVol,423907.957357
TotalGrayVol,583672.957357
MaskVol,1479184.000000
BrainSegVol-to-eTIV,0.733035
MaskVol-to-eTIV,1.078315
eTIV,1371755.277429
