Measure,Value
BrainSegVol,1129967.000000
lhCortexVol,232661.439715
rhCortexVol,235867.395821
CortexVol,468528.835536
TotalGrayVol,635428.835536
MaskVol,1643856.000000
BrainSegVol-to-eTIV,0.784270
MaskVol-to-eTIV,1.140941
eTIV,1440789.042498
