Measure,Value
BrainSegVol,1135628.000000
lhCortexVol,253501.215364
rhCortexVol,257039.987342
CortexVol,510541.202706
TotalGrayVol,689871.202706
MaskVol,1615216.000000
BrainSegVol-to-eTIV,0.809056
MaskVol-to-eTIV,1.150729
eTIV,1403645.961581
