Measure,Value
BrainSegVol,1189556.000000
lhCortexVol,262661.412563
rhCortexVol,260356.912580
CortexVol,523018.325142
TotalGrayVol,699216.325142
MaskVol,1587135.000000
BrainSegVol-to-eTIV,0.790438
MaskVol-to-eTIV,1.054621
eTIV,1504933.432980
