Measure,Value
BrainSegVol,1167835.000000
lhCortexVol,243486.168463
rhCortexVol,243792.462531
CortexVol,487278.630994
TotalGrayVol,653161.630994
MaskVol,1669119.000000
BrainSegVol-to-eTIV,0.756029
MaskVol-to-eTIV,1.080549
eTIV,1544695.360426
