Measure,Value
BrainSegVol,1374642.000000
lhCortexVol,294982.531501
rhCortexVol,297017.126523
CortexVol,591999.658024
TotalGrayVol,796006.658024
MaskVol,1887211.000000
BrainSegVol-to-eTIV,0.760670
MaskVol-to-eTIV,1.044304
eTIV,1807147.108850
