Measure,Vol
BrainSegVol,1094581.000000000000
BrainSegVolNotVent,1078203.000000000000
SupraTentorialVol,953992.000000000000
SupraTentorialVolNotVent,937614.000000000000
SubCortGrayVol,57443.000000000000
lhCortexVol,233057.785724257497
rhCortexVol,231818.587412861321
CortexVol,464876.373137118819
TotalGrayVol,632590.373137118760
lhCerebralWhiteMatterVol,210647.500000000000
rhCerebralWhiteMatterVol,206788.500000000000
CerebralWhiteMatterVol,417436.000000000000
MaskVol,1506060.000000000000
SupraTentorialVolNotVentVox,937614.000000000000
BrainSegVolNotVentSurf,1078203.000000000000
VentricleChoroidVol,13570.000000000000
