Measure,Value
BrainSegVol,1150155.000000
lhCortexVol,237060.972102
rhCortexVol,241354.049507
CortexVol,478415.021609
TotalGrayVol,653070.021609
MaskVol,1557190.000000
BrainSegVol-to-eTIV,0.796053
MaskVol-to-eTIV,1.077773
eTIV,1444822.123303
