Measure,Value
BrainSegVol,1010548.000000
lhCortexVol,213206.284287
rhCortexVol,213806.774005
CortexVol,427013.058292
TotalGrayVol,588170.058292
MaskVol,1491824.000000
BrainSegVol-to-eTIV,0.736682
MaskVol-to-eTIV,1.087529
eTIV,1371755.277429
