Measure,Vol
BrainSegVol,1340763.000000000000
BrainSegVolNotVent,1311515.000000000000
SupraTentorialVol,1189941.000000000000
SupraTentorialVolNotVent,1160693.000000000000
SubCortGrayVol,71273.000000000000
lhCortexVol,276517.373568058771
rhCortexVol,276650.396352005017
CortexVol,553167.769920063787
TotalGrayVol,745234.769920063787
lhCerebralWhiteMatterVol,268855.000000000000
rhCerebralWhiteMatterVol,269285.000000000000
CerebralWhiteMatterVol,538140.000000000000
MaskVol,1854016.000000000000
SupraTentorialVolNotVentVox,1160693.000000000000
BrainSegVolNotVentSurf,1311515.000000000000
VentricleChoroidVol,24613.000000000000
