Measure,Vol
BrainSegVol,1225554.000000000000
BrainSegVolNotVent,1192710.000000000000
SupraTentorialVol,1083926.000000000000
SupraTentorialVolNotVent,1051082.000000000000
SubCortGrayVol,66017.000000000000
lhCortexVol,248167.987370955758
rhCortexVol,247862.633614195453
CortexVol,496030.620985151210
TotalGrayVol,673414.620985151269
lhCerebralWhiteMatterVol,246619.500000000000
rhCerebralWhiteMatterVol,243688.500000000000
CerebralWhiteMatterVol,490308.000000000000
MaskVol,1691906.000000000000
SupraTentorialVolNotVentVox,1051082.000000000000
BrainSegVolNotVentSurf,1192710.000000000000
VentricleChoroidVol,28716.000000000000
