Measure,Value
BrainSegVol,1059123.000000
lhCortexVol,218052.699215
rhCortexVol,219416.639068
CortexVol,437469.338283
TotalGrayVol,594013.338283
MaskVol,1484731.000000
BrainSegVol-to-eTIV,0.789273
MaskVol-to-eTIV,1.106442
eTIV,1341896.736897
