Measure,Value
BrainSegVol,1137080.000000
lhCortexVol,255538.349469
rhCortexVol,255762.518842
CortexVol,511300.868311
TotalGrayVol,677937.868311
MaskVol,1671267.000000
BrainSegVol-to-eTIV,0.796598
MaskVol-to-eTIV,1.170830
eTIV,1427420.354035
