Measure,Vol
BrainSegVol,1188966.000000000000
BrainSegVolNotVent,1169208.000000000000
SupraTentorialVol,1047896.000000000000
SupraTentorialVolNotVent,1028138.000000000000
SubCortGrayVol,63187.000000000000
lhCortexVol,251033.697870234726
rhCortexVol,250001.008353624085
CortexVol,501034.706223858811
TotalGrayVol,673935.706223858753
lhCerebralWhiteMatterVol,234322.000000000000
rhCerebralWhiteMatterVol,231990.000000000000
CerebralWhiteMatterVol,466312.000000000000
MaskVol,1649773.000000000000
SupraTentorialVolNotVentVox,1028138.000000000000
BrainSegVolNotVentSurf,1169208.000000000000
VentricleChoroidVol,16262.000000000000
