Measure,Value
BrainSegVol,1097801.000000
lhCortexVol,235589.209219
rhCortexVol,238651.654626
CortexVol,474240.863845
TotalGrayVol,663652.863845
MaskVol,1550172.000000
BrainSegVol-to-eTIV,0.797523
MaskVol-to-eTIV,1.126159
eTIV,1376512.530870
