Measure,Value
BrainSegVol,1225554.000000
lhCortexVol,248167.987371
rhCortexVol,247862.633614
CortexVol,496030.620985
TotalGrayVol,673414.620985
MaskVol,1691906.000000
BrainSegVol-to-eTIV,0.748426
MaskVol-to-eTIV,1.033220
eTIV,1637507.511614
