Measure,Value
BrainSegVol,1207599.000000
lhCortexVol,256480.997418
rhCortexVol,257184.108143
CortexVol,513665.105561
TotalGrayVol,678710.105561
MaskVol,1633486.000000
BrainSegVol-to-eTIV,0.818241
MaskVol-to-eTIV,1.106812
eTIV,1475847.949722
