Measure,Vol
BrainSegVol,1162224.000000000000
BrainSegVolNotVent,1147936.000000000000
SupraTentorialVol,1006660.000000000000
SupraTentorialVolNotVent,992372.000000000000
SubCortGrayVol,64038.000000000000
lhCortexVol,260491.380582149519
rhCortexVol,263236.367391053296
CortexVol,523727.747973202844
TotalGrayVol,717149.747973202728
lhCerebralWhiteMatterVol,202525.000000000000
rhCerebralWhiteMatterVol,204516.000000000000
CerebralWhiteMatterVol,407041.000000000000
MaskVol,1564794.000000000000
SupraTentorialVolNotVentVox,992372.000000000000
BrainSegVolNotVentSurf,1147936.000000000000
VentricleChoroidVol,9820.000000000000
