Measure,Vol
BrainSegVol,1182709.000000000000
BrainSegVolNotVent,1150060.000000000000
SupraTentorialVol,1050133.000000000000
SupraTentorialVolNotVent,1017484.000000000000
SubCortGrayVol,59854.000000000000
lhCortexVol,242684.048342343653
rhCortexVol,246779.104165753117
CortexVol,489463.152508096769
TotalGrayVol,651344.152508096769
lhCerebralWhiteMatterVol,235668.500000000000
rhCerebralWhiteMatterVol,233880.500000000000
CerebralWhiteMatterVol,469549.000000000000
MaskVol,1636340.000000000000
SupraTentorialVolNotVentVox,1017484.000000000000
BrainSegVolNotVentSurf,1150060.000000000000
VentricleChoroidVol,27476.000000000000
