Measure,Vol
BrainSegVol,1146807.000000000000
BrainSegVolNotVent,1132167.000000000000
SupraTentorialVol,1014363.000000000000
SupraTentorialVolNotVent,999723.000000000000
SubCortGrayVol,63145.000000000000
lhCortexVol,255525.046235837188
rhCortexVol,258626.965467277536
CortexVol,514152.011703114724
TotalGrayVol,682029.011703114724
lhCerebralWhiteMatterVol,211617.500000000000
rhCerebralWhiteMatterVol,213362.500000000000
CerebralWhiteMatterVol,424980.000000000000
MaskVol,1680589.000000000000
SupraTentorialVolNotVentVox,999723.000000000000
BrainSegVolNotVentSurf,1132167.000000000000
VentricleChoroidVol,11054.000000000000
