Measure,Value
BrainSegVol,1090777.000000
lhCortexVol,239096.738141
rhCortexVol,237908.201832
CortexVol,477004.939973
TotalGrayVol,634199.939973
MaskVol,1521389.000000
BrainSegVol-to-eTIV,0.787624
MaskVol-to-eTIV,1.098558
eTIV,1384895.894146
