Measure,Vol
BrainSegVol,1230738.000000000000
BrainSegVolNotVent,1218316.000000000000
SupraTentorialVol,1087353.000000000000
SupraTentorialVolNotVent,1074931.000000000000
SubCortGrayVol,68874.000000000000
lhCortexVol,279919.231102655176
rhCortexVol,280462.658554731519
CortexVol,560381.889657386695
TotalGrayVol,746783.889657386695
lhCerebralWhiteMatterVol,223464.000000000000
rhCerebralWhiteMatterVol,225116.000000000000
CerebralWhiteMatterVol,448580.000000000000
MaskVol,1716555.000000000000
SupraTentorialVolNotVentVox,1074931.000000000000
BrainSegVolNotVentSurf,1218316.000000000000
VentricleChoroidVol,9761.000000000000
