Measure,Vol
BrainSegVol,1282425.000000000000
BrainSegVolNotVent,1266856.000000000000
SupraTentorialVol,1130138.000000000000
SupraTentorialVolNotVent,1114569.000000000000
SubCortGrayVol,67523.000000000000
lhCortexVol,272117.731647969631
rhCortexVol,271537.434005877294
CortexVol,543655.165653846925
TotalGrayVol,731210.165653846925
lhCerebralWhiteMatterVol,253882.000000000000
rhCerebralWhiteMatterVol,251422.000000000000
CerebralWhiteMatterVol,505304.000000000000
MaskVol,1731494.000000000000
SupraTentorialVolNotVentVox,1114569.000000000000
BrainSegVolNotVentSurf,1266856.000000000000
VentricleChoroidVol,11918.000000000000
