Measure,Vol
BrainSegVol,1417816.000000000000
BrainSegVolNotVent,1400110.000000000000
SupraTentorialVol,1237382.000000000000
SupraTentorialVolNotVent,1219676.000000000000
SubCortGrayVol,78436.000000000000
lhCortexVol,310007.792444308521
rhCortexVol,310769.428846309020
CortexVol,620777.221290617483
TotalGrayVol,843181.221290617483
lhCerebralWhiteMatterVol,263424.000000000000
rhCerebralWhiteMatterVol,259657.000000000000
CerebralWhiteMatterVol,523081.000000000000
MaskVol,1990407.000000000000
SupraTentorialVolNotVentVox,1219676.000000000000
BrainSegVolNotVentSurf,1400110.000000000000
VentricleChoroidVol,13212.000000000000
