Measure,Vol
BrainSegVol,1303639.000000000000
BrainSegVolNotVent,1287490.000000000000
SupraTentorialVol,1143362.000000000000
SupraTentorialVolNotVent,1127213.000000000000
SubCortGrayVol,73224.000000000000
lhCortexVol,293393.592585414124
rhCortexVol,291424.811027608637
CortexVol,584818.403613022761
TotalGrayVol,789751.403613022761
lhCerebralWhiteMatterVol,239096.000000000000
rhCerebralWhiteMatterVol,232061.000000000000
CerebralWhiteMatterVol,471157.000000000000
MaskVol,1755906.000000000000
SupraTentorialVolNotVentVox,1127213.000000000000
BrainSegVolNotVentSurf,1287490.000000000000
VentricleChoroidVol,11761.000000000000
