Measure,Vol
BrainSegVol,1118046.000000000000
BrainSegVolNotVent,1101547.000000000000
SupraTentorialVol,965709.000000000000
SupraTentorialVolNotVent,949210.000000000000
SubCortGrayVol,60926.000000000000
lhCortexVol,248848.955987006688
rhCortexVol,246830.663350552117
CortexVol,495679.619337558805
TotalGrayVol,678296.619337558746
lhCerebralWhiteMatterVol,199993.500000000000
rhCerebralWhiteMatterVol,194727.500000000000
CerebralWhiteMatterVol,394721.000000000000
MaskVol,1512806.000000000000
SupraTentorialVolNotVentVox,949210.000000000000
BrainSegVolNotVentSurf,1101547.000000000000
VentricleChoroidVol,11859.000000000000
