Measure,Value
BrainSegVol,1084432.000000
lhCortexVol,220693.438488
rhCortexVol,220595.254949
CortexVol,441288.693437
TotalGrayVol,609618.693437
MaskVol,1502458.000000
BrainSegVol-to-eTIV,0.782808
MaskVol-to-eTIV,1.084565
eTIV,1385309.488018
