Measure,Vol
BrainSegVol,1153573.000000000000
BrainSegVolNotVent,1131319.000000000000
SupraTentorialVol,1011316.000000000000
SupraTentorialVolNotVent,989062.000000000000
SubCortGrayVol,64590.000000000000
lhCortexVol,239780.819771884388
rhCortexVol,238451.103557395138
CortexVol,478231.923329279525
TotalGrayVol,656290.923329279525
lhCerebralWhiteMatterVol,225108.000000000000
rhCerebralWhiteMatterVol,223400.000000000000
CerebralWhiteMatterVol,448508.000000000000
MaskVol,1492636.000000000000
SupraTentorialVolNotVentVox,989062.000000000000
BrainSegVolNotVentSurf,1131319.000000000000
VentricleChoroidVol,17828.000000000000
