Measure,Vol
BrainSegVol,1352989.000000000000
BrainSegVolNotVent,1335335.000000000000
SupraTentorialVol,1185924.000000000000
SupraTentorialVolNotVent,1168270.000000000000
SubCortGrayVol,69966.000000000000
lhCortexVol,304592.865381362790
rhCortexVol,299697.766294348927
CortexVol,604290.631675711717
TotalGrayVol,807494.631675711717
lhCerebralWhiteMatterVol,250643.000000000000
rhCerebralWhiteMatterVol,246320.000000000000
CerebralWhiteMatterVol,496963.000000000000
MaskVol,1941918.000000000000
SupraTentorialVolNotVentVox,1168270.000000000000
BrainSegVolNotVentSurf,1335335.000000000000
VentricleChoroidVol,14513.000000000000
