Measure,Value
BrainSegVol,1036345.000000
lhCortexVol,223459.948790
rhCortexVol,225905.118089
CortexVol,449365.066879
TotalGrayVol,597319.066879
MaskVol,1496734.000000
BrainSegVol-to-eTIV,0.742980
MaskVol-to-eTIV,1.073044
eTIV,1394849.010741
