Measure,Vol
BrainSegVol,1266434.000000000000
BrainSegVolNotVent,1247856.000000000000
SupraTentorialVol,1106483.000000000000
SupraTentorialVolNotVent,1087905.000000000000
SubCortGrayVol,66220.000000000000
lhCortexVol,268511.557521063311
rhCortexVol,272869.694564816833
CortexVol,541381.252085880144
TotalGrayVol,735038.252085880144
lhCerebralWhiteMatterVol,241597.000000000000
rhCerebralWhiteMatterVol,240991.000000000000
CerebralWhiteMatterVol,482588.000000000000
MaskVol,1709507.000000000000
SupraTentorialVolNotVentVox,1087905.000000000000
BrainSegVolNotVentSurf,1247856.000000000000
VentricleChoroidVol,14643.000000000000
