Measure,Vol
BrainSegVol,1334533.000000000000
BrainSegVolNotVent,1316729.000000000000
SupraTentorialVol,1170413.000000000000
SupraTentorialVolNotVent,1152609.000000000000
SubCortGrayVol,70355.000000000000
lhCortexVol,297162.839889131894
rhCortexVol,294161.039065641991
CortexVol,591323.878954773885
TotalGrayVol,793766.878954773885
lhCerebralWhiteMatterVol,249297.000000000000
rhCerebralWhiteMatterVol,244392.000000000000
CerebralWhiteMatterVol,493689.000000000000
MaskVol,1942635.000000000000
SupraTentorialVolNotVentVox,1152609.000000000000
BrainSegVolNotVentSurf,1316729.000000000000
VentricleChoroidVol,14585.000000000000
