Measure,Vol
BrainSegVol,1127448.000000000000
BrainSegVolNotVent,1102880.000000000000
SupraTentorialVol,998666.000000000000
SupraTentorialVolNotVent,974098.000000000000
SubCortGrayVol,58070.000000000000
lhCortexVol,254781.800405035756
rhCortexVol,252046.584037519671
CortexVol,506828.384442555427
TotalGrayVol,663232.384442555369
lhCerebralWhiteMatterVol,206226.000000000000
rhCerebralWhiteMatterVol,205591.000000000000
CerebralWhiteMatterVol,411817.000000000000
MaskVol,1494872.000000000000
SupraTentorialVolNotVentVox,974098.000000000000
BrainSegVolNotVentSurf,1102880.000000000000
VentricleChoroidVol,20861.000000000000
