Measure,Vol
BrainSegVol,1175100.000000000000
BrainSegVolNotVent,1154751.000000000000
SupraTentorialVol,1033250.000000000000
SupraTentorialVolNotVent,1012901.000000000000
SubCortGrayVol,62757.000000000000
lhCortexVol,248697.488866480242
rhCortexVol,244553.929337202309
CortexVol,493251.418203682522
TotalGrayVol,665674.418203682522
lhCerebralWhiteMatterVol,232180.500000000000
rhCerebralWhiteMatterVol,226617.500000000000
CerebralWhiteMatterVol,458798.000000000000
MaskVol,1649683.000000000000
SupraTentorialVolNotVentVox,1012901.000000000000
BrainSegVolNotVentSurf,1154751.000000000000
VentricleChoroidVol,16767.000000000000
