Measure,Vol
BrainSegVol,1374642.000000000000
BrainSegVolNotVent,1340813.000000000000
SupraTentorialVol,1203288.000000000000
SupraTentorialVolNotVent,1169459.000000000000
SubCortGrayVol,66183.000000000000
lhCortexVol,294982.531500696496
rhCortexVol,297017.126523040526
CortexVol,591999.658023737022
TotalGrayVol,796006.658023737022
lhCerebralWhiteMatterVol,258841.000000000000
rhCerebralWhiteMatterVol,255109.000000000000
CerebralWhiteMatterVol,513950.000000000000
MaskVol,1887211.000000000000
SupraTentorialVolNotVentVox,1169459.000000000000
BrainSegVolNotVentSurf,1340813.000000000000
VentricleChoroidVol,29243.000000000000
