Measure,Vol
BrainSegVol,1295355.000000000000
BrainSegVolNotVent,1275602.000000000000
SupraTentorialVol,1163911.000000000000
SupraTentorialVolNotVent,1144158.000000000000
SubCortGrayVol,69806.000000000000
lhCortexVol,270760.458438455593
rhCortexVol,271205.967454610916
CortexVol,541966.425893066451
TotalGrayVol,712389.425893066451
lhCerebralWhiteMatterVol,267143.500000000000
rhCerebralWhiteMatterVol,266658.500000000000
CerebralWhiteMatterVol,533802.000000000000
MaskVol,1859409.000000000000
SupraTentorialVolNotVentVox,1144158.000000000000
BrainSegVolNotVentSurf,1275602.000000000000
VentricleChoroidVol,15996.000000000000
