Measure,Value
BrainSegVol,1208944.000000
lhCortexVol,259181.071306
rhCortexVol,260633.710440
CortexVol,519814.781745
TotalGrayVol,685793.781745
MaskVol,1709619.000000
BrainSegVol-to-eTIV,0.959967
MaskVol-to-eTIV,1.357530
eTIV,1259359.819854
