Measure,Vol
BrainSegVol,1078541.000000000000
BrainSegVolNotVent,1059143.000000000000
SupraTentorialVol,948580.000000000000
SupraTentorialVolNotVent,929182.000000000000
SubCortGrayVol,64385.000000000000
lhCortexVol,233379.117599699035
rhCortexVol,233294.043904486025
CortexVol,466673.161504185060
TotalGrayVol,633582.161504185060
lhCerebralWhiteMatterVol,199738.000000000000
rhCerebralWhiteMatterVol,200060.000000000000
CerebralWhiteMatterVol,399798.000000000000
MaskVol,1494252.000000000000
SupraTentorialVolNotVentVox,929182.000000000000
BrainSegVolNotVentSurf,1059143.000000000000
VentricleChoroidVol,16176.000000000000
