Measure,Value
BrainSegVol,1174266.000000
lhCortexVol,243575.719208
rhCortexVol,242112.379657
CortexVol,485688.098865
TotalGrayVol,651209.098865
MaskVol,1669130.000000
BrainSegVol-to-eTIV,0.760193
MaskVol-to-eTIV,1.080556
eTIV,1544695.360426
