Measure,Vol
BrainSegVol,1282524.000000000000
BrainSegVolNotVent,1251920.000000000000
SupraTentorialVol,1134864.000000000000
SupraTentorialVolNotVent,1104260.000000000000
SubCortGrayVol,68576.000000000000
lhCortexVol,265518.765324310458
rhCortexVol,263351.675190537178
CortexVol,528870.440514847636
TotalGrayVol,709599.440514847636
lhCerebralWhiteMatterVol,255895.000000000000
rhCerebralWhiteMatterVol,252920.000000000000
CerebralWhiteMatterVol,508815.000000000000
MaskVol,1694136.000000000000
SupraTentorialVolNotVentVox,1104260.000000000000
BrainSegVolNotVentSurf,1251920.000000000000
VentricleChoroidVol,26961.000000000000
