Measure,Vol
BrainSegVol,1271518.000000000000
BrainSegVolNotVent,1254525.000000000000
SupraTentorialVol,1140468.000000000000
SupraTentorialVolNotVent,1123475.000000000000
SubCortGrayVol,72304.000000000000
lhCortexVol,268549.240526855283
rhCortexVol,271859.343737541756
CortexVol,540408.584264397039
TotalGrayVol,715445.584264397039
lhCerebralWhiteMatterVol,255820.000000000000
rhCerebralWhiteMatterVol,256835.000000000000
CerebralWhiteMatterVol,512655.000000000000
MaskVol,1715526.000000000000
SupraTentorialVolNotVentVox,1123475.000000000000
BrainSegVolNotVentSurf,1254525.000000000000
VentricleChoroidVol,14124.000000000000
