Measure,Vol
BrainSegVol,1262450.000000000000
BrainSegVolNotVent,1238634.000000000000
SupraTentorialVol,1091476.000000000000
SupraTentorialVolNotVent,1067660.000000000000
SubCortGrayVol,63307.000000000000
lhCortexVol,260947.700128019846
rhCortexVol,258784.371686460625
CortexVol,519732.071814480470
TotalGrayVol,720072.071814480470
lhCerebralWhiteMatterVol,243310.000000000000
rhCerebralWhiteMatterVol,242836.000000000000
CerebralWhiteMatterVol,486146.000000000000
MaskVol,1728451.000000000000
SupraTentorialVolNotVentVox,1067660.000000000000
BrainSegVolNotVentSurf,1238634.000000000000
VentricleChoroidVol,19250.000000000000
